Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,1.0,1.0,0.8493431697955686
HI-VAE_weibull,80,1.0,0.9875,1.0,0.8426740000893309
HI-VAE_weibull,120,1.0,0.9916666666666667,1.0,0.8509742391833044
HI-VAE_weibull,160,1.0,0.99375,1.0,0.853579821339076
HI-VAE_weibull,200,1.0,0.995,1.0,0.8546477668778487
HI-VAE_piecewise,40,1.0,0.875,1.0,0.859381948448104
HI-VAE_piecewise,80,1.0,0.8625,1.0,0.8650961381906269
HI-VAE_piecewise,120,1.0,0.8416666666666667,1.0,0.8612497483128263
HI-VAE_piecewise,160,1.0,0.83125,1.0,0.8585953789409752
HI-VAE_piecewise,200,1.0,0.83,1.0,0.8583520573926542
Surv-GAN,40,0.0,1.0,0.0,0.0
Surv-GAN,80,0.0,1.0,0.0,0.0
Surv-GAN,120,0.0,1.0,0.0,0.0
Surv-GAN,160,0.0,1.0,0.0,0.0
Surv-GAN,200,0.0,1.0,0.0,0.0
Surv-VAE,40,0.0,1.0,0.0,0.011829318362969654
Surv-VAE,80,0.0,1.0,0.0,0.018117811503453034
Surv-VAE,120,0.0,1.0,0.0,0.016226429571950897
Surv-VAE,160,0.0,1.0,0.0,0.013874870646275808
Surv-VAE,200,0.0,1.0,0.0,0.01365786786140642
HI-VAE_weibull_diffusion,40,1.0,1.0,1.0,0.861007704594584
HI-VAE_weibull_diffusion,80,1.0,0.9875,1.0,0.8427074859651693
HI-VAE_weibull_diffusion,120,1.0,0.9916666666666667,1.0,0.8374416377780461
HI-VAE_weibull_diffusion,160,1.0,0.99375,1.0,0.8399183815205966
HI-VAE_weibull_diffusion,200,1.0,0.995,1.0,0.8452288796243086
HI-VAE_piecewise_diffusion,40,0.0,0.0,0.0,0.0
HI-VAE_piecewise_diffusion,80,0.0,0.0,0.0,0.0
HI-VAE_piecewise_diffusion,120,0.0,0.0,0.0,0.0
HI-VAE_piecewise_diffusion,160,0.0,0.0,0.0,0.0
HI-VAE_piecewise_diffusion,200,0.0,0.0,0.0,0.0
