Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,0.425,1.0,0.8453956244839496
HI-VAE_weibull,80,1.0,0.3625,1.0,0.8482582632263618
HI-VAE_weibull,120,1.0,0.325,1.0,0.8397831151762346
HI-VAE_weibull,160,1.0,0.275,1.0,0.8332484034899272
HI-VAE_weibull,200,1.0,0.265,1.0,0.8263241717532119
HI-VAE_piecewise,40,0.975,0.35,1.0,0.8261087117806442
HI-VAE_piecewise,80,0.9875,0.25,1.0,0.810684057267153
HI-VAE_piecewise,120,0.9916666666666667,0.24166666666666667,1.0,0.8140395788399827
HI-VAE_piecewise,160,0.99375,0.26875,1.0,0.8214222348683318
HI-VAE_piecewise,200,0.99,0.28,1.0,0.8236129472403785
Surv-GAN,40,0.0,0.0,0.0,0.0
Surv-GAN,80,0.0,0.0,0.0,0.0
Surv-GAN,120,0.0,0.0,0.0,0.0
Surv-GAN,160,0.0,0.0,0.0,0.0
Surv-GAN,200,0.0,0.0,0.0,0.0
Surv-VAE,40,0.0,0.0,0.0,0.0007210375235360039
Surv-VAE,80,0.0,0.0,0.0,0.0010759345579733379
Surv-VAE,120,0.0,0.0,0.0,0.0007172897053155586
Surv-VAE,160,0.0,0.0,0.0,0.0005379672789866689
Surv-VAE,200,0.0,0.0,0.0,0.0004303738231893352
HI-VAE_weibull_diffusion,40,0.25,0.0,0.65,0.38504292857655753
HI-VAE_weibull_diffusion,80,0.25,0.0,0.675,0.383942149145823
HI-VAE_weibull_diffusion,120,0.20833333333333334,0.0,0.7,0.38258712413631035
HI-VAE_weibull_diffusion,160,0.19375,0.0,0.66875,0.37256469375378176
HI-VAE_weibull_diffusion,200,0.19,0.0,0.65,0.3676988331700796
HI-VAE_piecewise_diffusion,40,1.0,0.575,1.0,0.8803548904207019
HI-VAE_piecewise_diffusion,80,1.0,0.575,1.0,0.8628101226464103
HI-VAE_piecewise_diffusion,120,1.0,0.6166666666666667,1.0,0.8674756855487186
HI-VAE_piecewise_diffusion,160,1.0,0.6125,1.0,0.8656833880975221
HI-VAE_piecewise_diffusion,200,1.0,0.63,1.0,0.870966623600242
