midpoints,errors,label,colors
-0.6844407243894447,0.42123294535987654,Init,red
-0.7491157320809672,0.4168091607404467,HI-VAE_weibull_diffusion 1,green
-0.8605207293148032,0.4096028494109103,HI-VAE_weibull_diffusion 2,green
-0.8942572921144739,0.40818759398362714,HI-VAE_weibull_diffusion 3,green
-0.9926676093870958,0.4025765090254657,HI-VAE_weibull_diffusion 4,green
-0.7909320790707621,0.41307088281259924,HI-VAE_weibull_diffusion 5,green
-0.7000723904639701,0.42122398724306853,HI-VAE_weibull_diffusion 6,green
-0.6429719900546126,0.42373800368012515,HI-VAE_weibull_diffusion 7,green
-0.8957533414766417,0.4080783342456187,HI-VAE_weibull_diffusion 8,green
-0.8098302855454715,0.41230109606250975,HI-VAE_weibull_diffusion 9,green
-0.9403986467404756,0.40472690352044716,HI-VAE_weibull_diffusion 10,green
-0.5862507808262797,0.4262775064265568,HI-VAE_piecewise_diffusion 1,blue
-0.9509016563488242,0.4050144572105708,HI-VAE_piecewise_diffusion 2,blue
-0.7065955367849732,0.4190372358947025,HI-VAE_piecewise_diffusion 3,blue
-0.6987090617829923,0.4189696346513217,HI-VAE_piecewise_diffusion 4,blue
-0.7831691607439285,0.4153994352230602,HI-VAE_piecewise_diffusion 5,blue
-0.8921223716696733,0.4070343411564688,HI-VAE_piecewise_diffusion 6,blue
-0.6486654812184722,0.424176318467871,HI-VAE_piecewise_diffusion 7,blue
-0.6861280572867606,0.4201605834200214,HI-VAE_piecewise_diffusion 8,blue
-0.5880805188057668,0.42741896872912555,HI-VAE_piecewise_diffusion 9,blue
-0.8392798056635682,0.4103535801148897,HI-VAE_piecewise_diffusion 10,blue
