midpoints,errors,label,colors
-0.8370071864058826,0.5259741405997993,Init,red
-0.8953294356752625,0.4106699439654081,HI-VAE_weibull 1,green
-0.8014940126258701,0.4164304686838621,HI-VAE_weibull 2,green
-0.8665882438312565,0.41153089299857537,HI-VAE_weibull 3,green
-0.9682317604952857,0.407901160278993,HI-VAE_weibull 4,green
-0.8388277906660452,0.41327919585997164,HI-VAE_weibull 5,green
-0.8652493264910097,0.4116587750461855,HI-VAE_weibull 6,green
-0.7638211650650548,0.4182586440297051,HI-VAE_weibull 7,green
-1.0155006579483414,0.40409137174528725,HI-VAE_weibull 8,green
-0.7932149040038441,0.4160084481323172,HI-VAE_weibull 9,green
-0.994018166740296,0.4039929663580165,HI-VAE_weibull 10,green
-0.8387879901730946,0.41044371006048896,HI-VAE_piecewise 1,blue
-0.9877377797302783,0.4021136515424407,HI-VAE_piecewise 2,blue
-1.0304688608722299,0.39952654882136884,HI-VAE_piecewise 3,blue
-1.0596969361249924,0.39900555940601556,HI-VAE_piecewise 4,blue
-1.0233324791998306,0.40079834580049667,HI-VAE_piecewise 5,blue
-1.0218243885348541,0.4009854800860282,HI-VAE_piecewise 6,blue
-0.9220449074849477,0.4056074854192879,HI-VAE_piecewise 7,blue
-0.8820818808882945,0.40794188516754704,HI-VAE_piecewise 8,blue
-1.03914112251149,0.4008195095407159,HI-VAE_piecewise 9,blue
-0.8626722032637492,0.4103905217420375,HI-VAE_piecewise 10,blue
-0.5850296177807384,0.45333020023692344,Surv-GAN 1,orange
-0.7460122596215648,0.44060119777737644,Surv-GAN 2,orange
-0.45761420563354066,0.4659739164666062,Surv-GAN 3,orange
-0.9317794515383262,0.42751036962616357,Surv-GAN 4,orange
-0.813387695206218,0.4321494058806856,Surv-GAN 5,orange
-0.647747642505632,0.44728607832959943,Surv-GAN 6,orange
-0.6600485295100461,0.44558775967784914,Surv-GAN 7,orange
-0.5643907287447958,0.45552421985392155,Surv-GAN 8,orange
-0.526398207706927,0.45848145782943217,Surv-GAN 9,orange
-0.5351632205009977,0.4551997548298268,Surv-GAN 10,orange
-0.3195662898220403,0.4565493182939627,Surv-VAE 1,cyan
-0.2426606340131145,0.4643379886406673,Surv-VAE 2,cyan
-0.267751507639956,0.46223607187822674,Surv-VAE 3,cyan
-0.27873459779083953,0.4582891561918663,Surv-VAE 4,cyan
-0.2148665388997537,0.46679787630654024,Surv-VAE 5,cyan
-0.108308100600822,0.4790545485100248,Surv-VAE 6,cyan
-0.5012012280030014,0.44227155616440383,Surv-VAE 7,cyan
-0.19037852946255468,0.4698580792416907,Surv-VAE 8,cyan
-0.3192984895093769,0.4572612150558908,Surv-VAE 9,cyan
-0.20098825676377607,0.4663133117356487,Surv-VAE 10,cyan
-0.7438777529040604,0.4184563841093726,HI-VAE_weibull_prior 1,magenta
-0.7847618193935707,0.4152474357088899,HI-VAE_weibull_prior 2,magenta
-0.7967566555397023,0.4155091359142959,HI-VAE_weibull_prior 3,magenta
-0.762995227695112,0.4160404418712953,HI-VAE_weibull_prior 4,magenta
-0.9937658595835395,0.4038130508252449,HI-VAE_weibull_prior 5,magenta
-0.6317368269733026,0.42502551441890457,HI-VAE_weibull_prior 6,magenta
-0.8094480924988908,0.41339601616574584,HI-VAE_weibull_prior 7,magenta
-0.9131671596931847,0.4091678199420714,HI-VAE_weibull_prior 8,magenta
-0.9252246568976414,0.4068114657965885,HI-VAE_weibull_prior 9,magenta
-0.6059967930751458,0.42673985657264746,HI-VAE_weibull_prior 10,magenta
-0.9103457158947628,0.4079054745855484,HI-VAE_piecewise_prior 1,grey
-0.8383868867859738,0.4131290677582946,HI-VAE_piecewise_prior 2,grey
-1.032520763900181,0.4014822637026361,HI-VAE_piecewise_prior 3,grey
-0.77198357337264,0.4148767010951636,HI-VAE_piecewise_prior 4,grey
-0.8868928781281991,0.40871082115526636,HI-VAE_piecewise_prior 5,grey
-0.8868284537560263,0.40880668411248583,HI-VAE_piecewise_prior 6,grey
-0.8551752684481091,0.4103594904797427,HI-VAE_piecewise_prior 7,grey
-0.9737710088182694,0.40342930085166206,HI-VAE_piecewise_prior 8,grey
-0.929125094140733,0.40632834042223115,HI-VAE_piecewise_prior 9,grey
-0.9964409056427408,0.402288651948082,HI-VAE_piecewise_prior 10,grey
