Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,0.875,0.95,1.0,0.7068261012335749
HI-VAE_weibull,80,0.85,0.975,0.9875,0.7060308015522826
HI-VAE_weibull,120,0.8666666666666667,0.9833333333333333,0.9833333333333333,0.7034245899768136
HI-VAE_weibull,160,0.88125,0.9875,0.9875,0.7142319612557293
HI-VAE_weibull,200,0.89,0.985,0.99,0.7177114980472177
HI-VAE_piecewise,40,0.8,1.0,1.0,0.6533685013356979
HI-VAE_piecewise,80,0.7625,1.0,1.0,0.6404756120004004
HI-VAE_piecewise,120,0.8166666666666667,0.9916666666666667,0.9916666666666667,0.6581383670172574
HI-VAE_piecewise,160,0.79375,0.99375,0.9875,0.6492764869246594
HI-VAE_piecewise,200,0.785,0.995,0.99,0.6468992085980569
Surv-GAN,40,0.0,0.0,0.0,0.0
Surv-GAN,80,0.0,0.0,0.0,0.0
Surv-GAN,120,0.0,0.0,0.0,0.0
Surv-GAN,160,0.0,0.0,0.0,0.0
Surv-GAN,200,0.0,0.0,0.0,0.0
Surv-VAE,40,0.55,0.075,0.85,0.5525462858886407
Surv-VAE,80,0.475,0.0625,0.8,0.5362288771243023
Surv-VAE,120,0.4583333333333333,0.05,0.775,0.519013381108538
Surv-VAE,160,0.425,0.0375,0.79375,0.5104754344117528
Surv-VAE,200,0.425,0.055,0.805,0.5168069277991069
HI-VAE_weibull_prior,40,1.0,0.8,1.0,0.8028302423959026
HI-VAE_weibull_prior,80,1.0,0.8625,1.0,0.8165066996762013
HI-VAE_weibull_prior,120,0.9916666666666667,0.8583333333333333,1.0,0.8075907593337711
HI-VAE_weibull_prior,160,0.975,0.8625,1.0,0.8053187737355196
HI-VAE_weibull_prior,200,0.975,0.855,1.0,0.8137685198426784
HI-VAE_piecewise_prior,40,1.0,0.925,1.0,0.829832023851603
HI-VAE_piecewise_prior,80,1.0,0.9125,1.0,0.830806008534231
HI-VAE_piecewise_prior,120,1.0,0.8666666666666667,1.0,0.825779001497437
HI-VAE_piecewise_prior,160,1.0,0.875,1.0,0.832593769780076
HI-VAE_piecewise_prior,200,0.995,0.88,1.0,0.8249429146323252
