Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,0.775,0.75,0.95,0.6794254905816319
HI-VAE_weibull,80,0.8125,0.7875,0.9375,0.6977495203384061
HI-VAE_weibull,120,0.8166666666666667,0.7833333333333333,0.925,0.6924597858666102
HI-VAE_weibull,160,0.83125,0.79375,0.94375,0.70327899884824
HI-VAE_weibull,200,0.8,0.76,0.94,0.6853528503416723
HI-VAE_piecewise,40,1.0,1.0,1.0,0.8694372396682819
HI-VAE_piecewise,80,1.0,1.0,1.0,0.8811700773760014
HI-VAE_piecewise,120,0.9916666666666667,0.9916666666666667,1.0,0.8731548021801423
HI-VAE_piecewise,160,0.9875,0.9875,1.0,0.8673790866645279
HI-VAE_piecewise,200,0.99,0.99,1.0,0.8694685130344617
Surv-GAN,40,0.975,1.0,1.0,0.8608090988084445
Surv-GAN,80,0.9875,1.0,1.0,0.8548046993619843
Surv-GAN,120,0.9916666666666667,1.0,1.0,0.8569452139895265
Surv-GAN,160,0.99375,1.0,1.0,0.8533649154814558
Surv-GAN,200,0.995,1.0,1.0,0.8493446759054828
Surv-VAE,40,0.425,0.625,0.8,0.48069770744409573
Surv-VAE,80,0.3875,0.575,0.8,0.457880309185248
Surv-VAE,120,0.425,0.6166666666666667,0.8416666666666667,0.4729199772623281
Surv-VAE,160,0.40625,0.5875,0.81875,0.4703204360623382
Surv-VAE,200,0.425,0.6,0.815,0.4807739312921284
HI-VAE_weibull_prior,40,0.8,0.75,0.975,0.6605805308250867
HI-VAE_weibull_prior,80,0.725,0.6875,0.975,0.6406299693366447
HI-VAE_weibull_prior,120,0.7583333333333333,0.725,0.9666666666666667,0.6478287868865027
HI-VAE_weibull_prior,160,0.79375,0.75,0.975,0.6603788648641958
HI-VAE_weibull_prior,200,0.785,0.75,0.975,0.6567909677946906
HI-VAE_piecewise_prior,40,0.925,0.9,1.0,0.7435680265444489
HI-VAE_piecewise_prior,80,0.9625,0.95,1.0,0.7731137409804196
HI-VAE_piecewise_prior,120,0.9666666666666667,0.9583333333333334,1.0,0.7823145298332249
HI-VAE_piecewise_prior,160,0.96875,0.9625,1.0,0.78993101488653
HI-VAE_piecewise_prior,200,0.965,0.955,1.0,0.7909188037456376
