Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,0.9,0.875,1.0,0.6973488006826052
HI-VAE_weibull,80,0.9375,0.8875,1.0,0.7156322554375717
HI-VAE_weibull,120,0.95,0.9083333333333333,1.0,0.7307230299455791
HI-VAE_weibull,160,0.93125,0.8875,0.99375,0.7360734201240778
HI-VAE_weibull,200,0.94,0.895,0.995,0.7375986402504818
HI-VAE_piecewise,40,1.0,1.0,1.0,0.8120934315899904
HI-VAE_piecewise,80,0.9875,0.9875,1.0,0.8015393960500313
HI-VAE_piecewise,120,0.9916666666666667,0.9916666666666667,1.0,0.8158705905217178
HI-VAE_piecewise,160,0.98125,0.975,1.0,0.8142858694962465
HI-VAE_piecewise,200,0.975,0.97,1.0,0.8108698322039807
Surv-GAN,40,0.0,0.0,0.0,0.0
Surv-GAN,80,0.0,0.0,0.0,0.0
Surv-GAN,120,0.0,0.0,0.0,0.0
Surv-GAN,160,0.0,0.0,0.0,0.0
Surv-GAN,200,0.0,0.0,0.0,0.0
Surv-VAE,40,0.85,0.875,1.0,0.7428873064742925
Surv-VAE,80,0.8875,0.9,1.0,0.7587056802075111
Surv-VAE,120,0.9,0.9166666666666666,0.9916666666666667,0.773222923229485
Surv-VAE,160,0.90625,0.91875,0.9875,0.7806454461004708
Surv-VAE,200,0.92,0.93,0.99,0.7818314245476682
