Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,0.875,1.0,0.7821183496768737
HI-VAE_weibull,80,1.0,0.8625,1.0,0.7731711781337332
HI-VAE_weibull,120,1.0,0.8333333333333334,1.0,0.761598461267171
HI-VAE_weibull,160,1.0,0.84375,1.0,0.7606389377568427
HI-VAE_weibull,200,1.0,0.83,1.0,0.7576218826349368
HI-VAE_piecewise,40,1.0,1.0,1.0,0.8218933756410178
HI-VAE_piecewise,80,1.0,1.0,1.0,0.8321616909621925
HI-VAE_piecewise,120,1.0,1.0,1.0,0.8366503015091575
HI-VAE_piecewise,160,1.0,1.0,1.0,0.8383922948727655
HI-VAE_piecewise,200,1.0,0.985,1.0,0.8340649846465188
Surv-GAN,40,0.0,1.0,0.0,0.0
Surv-GAN,80,0.0,1.0,0.0,0.0
Surv-GAN,120,0.0,1.0,0.0,0.0
Surv-GAN,160,0.0,1.0,0.0,0.0
Surv-GAN,200,0.0,1.0,0.0,0.0
Surv-VAE,40,0.0,1.0,0.0,0.0
Surv-VAE,80,0.0,1.0,0.0,0.0
Surv-VAE,120,0.0,1.0,0.0,0.0
Surv-VAE,160,0.0,1.0,0.0,0.0
Surv-VAE,200,0.0,1.0,0.0,0.0
HI-VAE_weibull_diffusion,40,1.0,1.0,1.0,0.8192125455180234
HI-VAE_weibull_diffusion,80,1.0,1.0,1.0,0.8258782803946174
HI-VAE_weibull_diffusion,120,1.0,1.0,1.0,0.8304240784776036
HI-VAE_weibull_diffusion,160,1.0,1.0,1.0,0.8271252433298937
HI-VAE_weibull_diffusion,200,1.0,1.0,1.0,0.8269307784898953
HI-VAE_piecewise_diffusion,40,0.95,0.375,1.0,0.6193939919914028
HI-VAE_piecewise_diffusion,80,0.9125,0.3375,1.0,0.6090394075891912
HI-VAE_piecewise_diffusion,120,0.9166666666666666,0.35,1.0,0.6134157464959653
HI-VAE_piecewise_diffusion,160,0.9,0.3375,1.0,0.6081585309518497
HI-VAE_piecewise_diffusion,200,0.875,0.35,1.0,0.6017386172545467
